UserID,OOP_Level,CN_Level,DBMS_Level,OS_Level,DSA_Level,OOP_Hours,CN_Hours,DBMS_Hours,OS_Hours,DSA_Hours,Strengths,Areas_to_Focus,Recommended_Resources
72,2,1,1,3,3,4,7,5,10,5,Familiar with network protocols,Networking Fundamentals,Operating Systems - Advanced
73,1,3,1,1,3,10,6,4,9,5,Familiar with network protocols,Computer Networks,Computer Networks - Beginner
74,3,1,2,3,3,2,4,3,5,3,Deep understanding of algorithms,Computer Networks,Operating Systems - Advanced
75,2,1,2,2,2,10,1,7,7,1,Excellent coding skills,Computer Networks,Concurrency Patterns - Beginner
76,1,1,3,3,3,7,10,7,2,5,Deep understanding of algorithms,Operating Systems,Concurrency Patterns - Beginner
77,2,1,3,3,1,3,2,2,4,3,Familiar with network protocols,Concurrency and Multithreading,Operating Systems - Advanced
78,1,3,3,3,2,7,2,5,1,5,Effective communication,Computer Networks,OOP Concepts - Beginner
79,3,3,2,3,3,5,9,4,4,9,Deep understanding of algorithms,Software Design Patterns,DBMS - Intermediate
80,1,3,2,3,2,4,5,2,6,2,Deep understanding of algorithms,Software Design Patterns,System Design - Advanced
81,3,1,1,3,3,3,4,10,5,1,Excellent coding skills,Advanced Database Management,Computer Networks - Beginner
82,3,1,2,3,1,9,9,1,5,5,Deep understanding of algorithms,Algorithm Optimization,DBMS - Intermediate
83,3,2,2,1,3,7,1,6,10,10,Good grasp of fundamentals,Computer Networks,DSA - Advanced
84,2,3,3,3,1,8,1,1,8,5,Solid understanding of OOP principles,Algorithm Optimization,Data Structures - Intermediate
85,2,1,1,2,3,9,4,8,10,6,Effective communication,Advanced Database Management,OOP Concepts - Beginner
86,3,2,2,2,1,6,3,7,6,1,Strong problem solving,Software Design Patterns,Computer Networks - Beginner
87,3,1,3,1,2,4,6,6,2,8,Solid understanding of OOP principles,Advanced Database Management,System Design - Advanced
88,2,1,3,2,1,6,10,8,8,8,Familiar with network protocols,Concurrency and Multithreading,Operating Systems - Advanced
89,1,2,2,2,1,10,4,7,10,6,Solid understanding of OOP principles,Data Structures,Operating Systems - Advanced
90,3,3,3,3,1,7,6,1,6,1,Strong problem solving,Computer Networks,OOP Concepts - Beginner
91,2,2,2,1,1,9,8,1,8,2,Good grasp of fundamentals,Data Structures,Data Structures - Intermediate
92,1,3,2,1,3,1,5,4,7,9,Excellent coding skills,Data Structures,Concurrency Patterns - Beginner
93,3,1,2,2,3,7,5,9,8,9,Proficient in database management,Algorithm Optimization,System Design - Advanced
94,3,1,3,1,3,1,2,1,5,8,Familiar with network protocols,Networking Fundamentals,DBMS - Intermediate
95,3,2,3,2,1,5,3,8,4,2,Effective communication,Operating Systems,Data Structures - Intermediate
96,3,3,3,1,2,5,2,8,2,5,Effective communication,Data Structures,DSA - Advanced
97,2,1,2,1,1,10,1,10,9,10,Strong problem solving,Advanced Database Management,DBMS - Intermediate
98,3,2,3,1,1,10,4,3,9,3,Excellent coding skills,Advanced Database Management,DBMS - Intermediate
99,3,1,2,3,1,10,1,10,4,3,Familiar with network protocols,Software Design Patterns,Computer Networks - Beginner
100,1,2,2,3,2,2,7,4,4,8,Solid understanding of OOP principles,Networking Fundamentals,Operating Systems - Advanced
